project_id;project_name;description;category;cost;district;votes
751;Modernizacja ulicy DRZEWIECKIEGO;"Uzasadnienie
Przejścia dla pieszych oraz miejsca postojowe przy ul. Drzewieckiego .Projekt zgłoszony w wersji papierowej, szczegóły w załączniku.";roads;1000000;Huby;3788
451;Wrocławska Arena Sportu - strefa A;"Uzasadnienie
Projekt zakłada powstanie strefy A Wrocławskiej Areny Sportu zlokalizowanej na Zakrzowie.
Brak dostępu do urozmaiconego i ogólnodostępnego zaplecza sportowo-rekreacyjnego dotyka bardzo dużą liczbę Wrocławian. Dotychczasowe miejsca do tego stworzone są zatłoczone oraz niewystarczająco dostosowane do oczekiwać mieszkańców naszego miasta. Deficyt takiej infrastruktury skutkuje rezygnacją z aktywności fizycznej przez sporą część Wrocławian. Celem nadrzędnym Areny Sportu jest wypełnienie luki na mapie infrastruktury sportowo rekreacyjnej Wrocławia poprzez stworzenie centrum sportowego w pn-wsch części miasta. Układ i dobór obiektów dla nowych dyscyplin na Arenie Sportu, sprawi że będzie to wyjątkowe miejsce spotkań dla rodzin z całego Wrocławia.  W ramach projektu powstanie:
- boisko do siatkówki plażowej
- Pumptrack Entry - tor do jazdy przeznaczony dla początkujących i średniozaawansowanych rowerzystów. Będzie on zbudowany w modułowej technologii, tak aby w przyszłości była możliwa jego rozbudowy lub zmiany kształtu
- Kort do Padla. Padel to połączenie Squasha i Tenisa, idealny sport rodzinny o rekreacyjnym charakterze. Nie jest sportem technicznym dzięki czemu początkujący gracze bardzo szybko osiągają poziom umożliwiający komfortową grę
- Rozbudowa boiska baseballowego o betonową trybunę ustawioną za backstopem po lewej stronie. Inwestycja ta spowoduje uatrakcyjnienie całego kompleksu i podkreśli jego wyjątkowych charakter.
Projekt został skonsultowany z mieszkańcami Wrocławia. Odpowiada on potrzebom w zakresie aktywizacji społeczeństwa związanego z aktywnym spędzaniem czasu wolnego na świeżym powietrzu. Wrocławska Arena Sportu będzie również miejscem wydarzeń sportowych o ogólnopolskim wymiarze co podniesie atrakcyjność oferty sportowej dla mieszkańców miasta.";sport;1000000;Wojszyce;3368
284;Zielona Obwodnica Wrocławia - drzewa i pnącza na wrocławskich osiedlach;"Uzasadnienie
Projekt zakłada nasadzenia drzew na wszystkich osiedlach wzdłuż Autostradowej Obwodnicy Wrocławia od Muchoboru Wielkiego przez Żerniki, Kuźniki, Pilczyce, Rędzin, Osobowice, Lipę Piotrowską, Widawę, Polanowice i Pawłowice. Przebieg AOW przez osiedla mieszkaniowe i tereny mogące pełnić funkcje rekreacyjne (np. Pola Osobowickie) skutkuje uciążliwościami dla mieszkańców w postaci nadmiernego hałasu przez całą dobę, dużej ilości zanieczyszczeń powietrza, a ponadto betonowa konstrukcja ekranów akustycznych ma wątpliwe walory estetyczne. Na wielu odcinkach brakuje także izolacji akustycznej. Posadzenie drzew  zmniejszyłoby w pewnym stopniu niekorzystne sąsiedztwo AOW. Betonowe ekrany akustyczne można by obsadzić od strony zewnętrznej pnączami.
Wzdłuż AOW jest bardzo dużo miejsc, gdzie można posadzić drzewa i uzupełnić istniejące nasadzenia (np. teren przy ul. Sułowskiej: działka Widawa, AR_16, 10/1, na której rosną jedynie bardzo małe sosny - dosadzenie wysokich drzew liściastych bardzo pozytywnie wpłynęłoby na to miejsce), pasy wzdłuż tzw. dróg technicznych i.in.  W pobliżu AOW znajdują się działki miejskie, np. na osiedlu Osobowice-Rędzin, a własność Skarbu Państwa w wielu miejscach nie powinna być przeszkodą.";greenery/recreation;100000;Ołtaszyn;3362
345;Park Rędziński;"Uzasadnienie
Koncepcję Parku na Maślicach zaprojektowano w oparciu o wywiad przeprowadzony wśród jego obecnych użytkowników. Uwzględniono dwie główne grupy docelowe: rodziny z dziećmi i młodych, aktywnych sportowo. Obecnie obszar ten funkcjonuje w świadomości mieszkańców jako teren zielony–niestety zaniedbany. Z uwagi na rozwój osiedla i potrzebę tworzenia nowych miejsc spotkań dla mieszkańców oraz starania Wrocławia o tytuł Zielonej Stolicy Europy teren ten powinien zyskać nową odsłonę.
Projekt zagospodarowania Parku obejmuje ścieżki, przygotowane w oparciu o stan zadrzewienia i potencjalne koszty oczyszczenia przedeptów na szerokość min. 2,5 m–trasy rowerowe, biegowe, marszowe–wyrównane i przygotowane do przejazdu wózkiem dziecięcym. Ponadto projekt uwzględnia trasy ścieżek zdrowotnych połączonych przejściami z drewnianych mostków, przepustów i równoważni. Ścieżki połączone będą placami piaskowymi na których znajdą się urządzenia zabawowe (drewniane) oraz wigwamy (drewniane, wierzbowe). Wykorzystane będzie również znajdujące się na terenie Parku wzniesienie–zostanie obsadzone spiralnym żywopłotem, a w jego boki wbudowane będą plastikowe zjeżdżalnie. Na górze powstanie punkt widokowy z okrągłą altaną i ławkami w formie huśtawek.
Ścieżki parkowe wyposażone będą w serie tablic edukacyjnych i sensorycznych. Zastane żywopłoty jeżynowe zostaną zagęszczone krzewami malin w różnych odmianach oraz porach owocowania. Koncepcja obejmuje również zagospodarowanie dwóch zbiorników wodnych. Zaplanowano dwa przejścia nad nimi w formie drewnianych mostów. Przy jednym ze stawów zlokalizowano miejsce do ćwiczeń z nawierzchni amortyzującej oraz miejsce na zewnętrzne urządzenia siłowni na wolnym powietrzu. Na terenie znajdą się też dwa paleniska, altany, ławki oraz leżaki drewniane z pni drzew.";greenery/recreation;1000000;Brochów;2484
41;Fontanna Neptuna na Placu Nowy Targ;"Uzasadnienie
Odtworzenie historycznej rzeźby Neptuna na placu Nowy Targ, zniszczonej podczas II Wojny Światowej. W obecnej formie placu daję się odczuć brak centralnego punktu dopełniającego kompozycję. Ciemne nawierzchnie z których zbudowany jest plac podczas upalnych dni kumulują ciepło, fontanna ma temu również zapobiec co wpłynie również na komfort użytkowników. Można by było pokusić się o konkurs na współczesną, figuratywną wersje Neptuna inspirowanego historyczną rzeźbą.
Projekt byłby podzielny na etapy. W tym etapie przewidziany byłby jedynie koszt rozpoczęcie rzeźbienia fontanny, w drugim etapie byłaby budowa całej niecki i potrzebnej do tego infrastruktury.";other;1000000;Ołbin;2123
16;Remont zabytkowego autobusu Fredruś;"Uzasadnienie
Autobus kabriolet Jelcz MEX - Fredruś jest wpisany do rejestru zabytków województwa dolnośląskiego. Został on przekazany miastu w roku 1974 podczas Dni Wrocławia. Od tego czasu stał się symbolem miasta wożącym turystów i mieszkańców.
Nazwa ""Fredruś"" została mu nadana na cześć Aleksandra Fredry. Jednak autobus od 2009 roku jest unieruchomiony i długotrwały postój na odkrytym powietrzu bardzo nadszarpnęła jego stan techniczny i teraz aby go przywrócić do ruchu konieczne są duże nakłady finansowe. Ponieważ konieczna jest kompletna odbudowa nadwozia, regeneracja detali i układu jezdnego pojazdu włącznie z silnikiem.
Celem projektu jest umożliwienie mieszkańcom, turystom i gościom zwiedzanie naszego miasta w ciekawy sposób i należy nadmienić, że ten autobus uświetniał wszystkie parady i święta Wrocławia. Wyremontujmy Fredrusia i przywróćmy go mieszkańcom.";other;430000;Brochów;2113
716;Park Grabiszyński - bezpieczne dojście! Remont chodników przy ul. Odkrywców (od al. Hallera do ul. Ślusarskiej) oraz chodników prowadzących do parku.;"Uzasadnienie
Niezbędny jest remont ogromnej większości chodników na Osiedlu Grabiszyn Grabiszynek. Zacznijmy od stworzenia bezpiecznych dojść do Parku Grabiszyńskiego, czyli remontu chodników przy ulicach:
1. Odkrywców  (od al. Hallera do ul. Ślusarskiej).
2. Podróżniczej (od ul. Odkrywców do parkowej al. Romera).
3. Pionierskiej (od Odkrywców do wejścia do parku).
4. Ślusarskiej (od Odkrywców do wejścia do parku).";walking/cycling infrastructure;1000000;Stare Miasto;2098
590;Zagospodarowanie terenu kąpieliska na Oporowie, w celu udostępnienia, jako otwarty teren rekreacji;"Uzasadnienie
Budowa: boiska do siatkówki plażowej, boiska do siatkówki z nawierzchnią bitumiczną. Ustawienie dodatkowych ławek, koszy na śmieci, nowych elementów placu zabaw w tym ziemnych górek, elementy do ćwiczeń na świeżym powietrzu (siłownia), odnowienie elewacji i odmalowanie (murale) części elewacji budynków znajdujących się na terenie kąpieliska, udostępnienie toalety w budynku na terenie kąpieliska. Zainstalowanie stacji pomiaru jakości powietrza, która to będzie przekazywać informacje online, tak jak istniejąca stacja przy ul. Wiśniowej - nie musi być aż taka rozbudowana. Nasadzenia drzew i krzewów na terenie kąpieliska.
Działka - Oporów, AR_3, 49/2";greenery/recreation;1000000;Leśnica,Maślice;2001
43;Zielona Promenada przez Krzyki Etap I;"Uzasadnienie
Projekt ma za zadanie przywrócenie historycznego założenia urbanistycznego, poprzez rewaloryzację promenady ciągnącej się od skrzyżowania ulic Zaporoskiej i Grabiszyńskiej, zwieńczonej zabytkową wieżą ciśnień przy Alei Wiśniowej. Proponujemy odzyskanie walorów estetycznych pierwotnego założenia zielonej arterii, w połączeniu z potrzebami komunikacyjnymi tej części dzielnicy. Wytyczona w ostatnich latach XIX wieku ulica jest przykładem pięknej osi widokowej z królująca wieżą ciśnień z 1904 roku, pomnikiem dobrego miejskiego planowania, dodatkowo zielonym korytarzem okolicy. Przy użyciu niewielu środków możemy przywrócić blask dawnego deptaku jednocześnie porządkując i usprawniając ruch pieszy, samochodowy a także rowerowy na tym odcinku. Wykonane prace mogłyby w przyszłości stanowić początek dalszych zmian w kierunku ulicy Grabiszyńskiej. Podstawowym zadaniem projektu jest poprawa estetyki okolicy, jakości życia mieszkańców oraz połączenie wygodnym ciągiem pieszo – rowerowym całego odcinka zielonej arterii od zabytków w postaci wieży ciśnień i Szpitala Żydowskiego mieszczącego dziś Szpital Kolejowy, dalej Parafii rzymskokatolickiej pw. Św. Augustyna, kamienic Hansa Poelziga do ronda Powstańców Śląskich.";redevelopment;1000000;Brochów;1973
46;Rondo Reagana na poziomie! Budowa peronów na Rondzie Reagana.;"Uzasadnienie
Rondo Reagana to jeden z ważniejszych węzłów przesiadkowych. Niestety, niska krawędź przystanków utrudnia wsiadanie osobom starszym,niepełnosprawnym czy rodzicom z wózkami dziecięcymi. Przez to wsiadanie i wysiadanie pasażerów trwa dłużej - tracimy na tym WSZYSYCY ! Dość niewygodnej wspinaczki do autobusu czy tramwaju!
Jest to kontynuacja projektu WBO 2016 nr 82 . W poprzedniej edycji projekt 82 i 686(zbieżny)  zebrały wspólnie ponad 1200 głosów co wskazuje na spore zainteresowanie mieszkańców sprawą wygodnego wsiadania na tym ważnym punkcie przesiadkowym.
Postulowane zmiany to podniesienie o min 25 cm peronów po wschodniej stronie(2 peronach od strony ul. Norwida) by szczelina między wsiadaniem była jak najmniejsza.";public transit;1000000;Karłowice-Różanka;1839
514;Pszczoły w mieście – hotele dla zapylaczy z placem do wypoczynku pomiędzy ulicami Hermanowską i Chociebuską;"Uzasadnienie
Obecnie wskazany zieleniec pomimo, iż jest zadbany, nie pełni roli wypoczynkowej czy komunikacyjnej. Porośnięty starodrzewem (w tym drzewami miododajnymi), poprzecinany wstążkami przedeptów teren, zachęca do uporządkowania i wytyczenia alejek, które będą komunikowały Kuźniki z Gądowem Małym, stworzenia tematycznej łąki kwietnej będącej pożytkiem dla owadów pożytecznych, a poprzez montaż leżaków i wygodnych ławek, stanie się miejscem do wypoczynku dla mieszkańców pobliskich osiedli. Dla urozmaicenia zieleńca proponuję montaż około 20 uli wraz z rodzinami pszczelimi. Teren jest na tyle bezpiecznie oddalony od najbliższych domów, że owady nie będą stwarzały zagrożenia dla mieszkańców. Serwisem uli zajmowałyby się wyspecjalizowane jednostki takie jak kluby pszczelarskie, a smaczny Kuźnicki Miód trafiałby na aukcje Wielkiej Orkiestry Świątecznej Pomocy.";greenery/recreation;250000;Grabiszyn-Grabiszynek,Pilczyce-Kozanów-Popowice Płn.;1737
553;Sieć parków we Wrocławiu - Psie Pole - Zawidawie 1;"Uzasadnienie
Celem projektu jest stworzenie dwóch terenów zielonych na terenie osiedla Psie Pole -Zawidawie – zagospodarowanie zaniedbanej działki w rejonie LZN położonej między ulicą Gorlicką a Kiełczowską oraz terenu rekreacyjnego na Zakrzowie na brzegu rzeki Dobrej. Łączenie ze sobą obszarów zlokalizowanych po obu stronach alei Sobieskiego ma za zadanie aktywizację mieszkańców całego osiedla wokół wspólnego projektu w ramach WBO 2017.
Pierwszym obszarem w tym projekcie jest działka zaniedbanej zieleni rozciągająca się między osiedlem przy ul. Miłostowskiej, a LZN i osiedlem przy ul. Gorlickiej. Jej wewnętrznym lub zewnętrznym skrajem, należy poprowadzić oświetloną ścieżkę rowerową. W szpalerach nowo posadzonych drzew będzie miejsce rekreacji i zabaw dla najmłodszych dzieci. Ważne jest także zagospodarowanie „klina” od ulicy Kiełczowskiej do końca ogrodzenia LZN. Do tego miejsca łatwo się jest dostać chodnikiem wybudowanym w ramach WBO. Zgłaszany projekt obejmuje także zagospodarowanie przestrzeni między chodnikiem a ogrodzeniem LZN. Na długości betonowego płotu wyłożenie kostką, na długości metalowego ogrodzenia i „wyspy” odpowiednio dobrana zieleń.
Drugim miejscem tego projektu, jest teren na Zakrzowie, wzdłuż brzegu Dobrej – od Mostu Zakrzowskiego do drogi nieutwardzonej prowadzonej do Stadionu Zakrzów. Miejsce idealne na porządną ścieżkę i czas rodzinnego relaksu np. pikniki. Należy uporządkować teren, wyznaczyć aleje, zbudować wiatę/y, dwa-trzy paleniska, wokół nich ławy.
Beneficjentami będą mieszkańcy okolicznych osiedli, ale poprzez rozwój parku sieciowego, w przyszłości także wszyscy Wrocławianie.
Projekt powstał w wyniku prac Grupy roboczej WBO 2017 oraz spotkań w ramach Laboratorium Obywatelskiego na Zawidawiu w 2017 roku.";greenery/recreation;1000000;Muchobór Wielki;1724
68;Zielona trasa biegowo-pieszo-rowerowa z Ołtaszyna do centrum (z modyfikacjami);"Uzasadnienie
Proponuję kilka modyfikacji (głównie obniżających koszty) do tego projektu, tak żeby był realny i mieścił się w zakładanym budżecie:
1. Trasa przebiega przez kilka dzielnic (wyjściowo 3) i z tego powodu wpisuję ten projekt jako ogólnomiejski z wyższym budżetem
2. Skrócenie trasy - przebieg od remontowanej ulicy Parafialnej przez Orawską i Spiską do Parku Skowroniego. Dopiero w razie uzyskania możliwości dalszego finansowania bądź wykorzystania większych środków proponuję przedłużenie przez ulicę Spiską do Aquaparku względnie dalej
3. Zamiana nawierzchni asfaltowej na równą, ubita szutrową. Taka zmiana
a) obniża koszty
b) jest zdrowsza i bardziej komfortowa dla biegaczy i równorzędna dla rowerzystów
c) umożliwia kierowcom samochodów dojazd do ogródków działkowych jednocześnie redukując prędkość dojazdu względem drogi asfaltowej i w ten sposób poprawiając bezpieczeństwo osób pieszych, biegaczy i rowerzystów.
d) pozwala zachować rekreacyjny charakter ścieżki pod kątem aktywności fizycznej osób pieszych, biegaczy i rowerzystów nie zamieniając jej w asfaltową, zatłoczoną drogę dojazdową oraz skrót i alternatywę przejazdu samochodem dla zakorkowanej ulicy Grota-Roweckiego";walking/cycling infrastructure;750000;Tarnogaj;1705
