project_id;project_name;description;category;cost;district;votes;district_number;rank;year
187;Extension of the left-turn lane towards Lotnicza Street at the intersection of Na Ostatnim Groszu and Legnicka Streets.;"Justification
The task involves the reconstruction of an asphalt road, which is part of the downtown bypass, over a length of approximately 160 meters, from the pedestrian footbridge over Na Ostatnim Groszu Street to the intersection of Na Ostatnim Groszu, Legnicka, and Lotnicza Streets, along with the reconstruction of the necessary infrastructure, by extending the left-turn lane towards Środa Śląska.
The work will involve creating additional space for cars turning left at the aforementioned intersection. Currently, cars turning towards Lotnicza Street do not fit in the existing left-turn lane. This prevents cars going straight towards Milenijna Street from passing. Often, those turning left towards Środa Śląska stand in the left lane for going straight because they cannot move into the relatively short designated left-turn lane. During peak traffic hours, cars stand in both lanes for going straight on Milenijna Street, all the way from the intersection with Bystrzycka Street.
Extending the left-turn lane would smooth the flow of traffic in the left lane, which would improve safety for those going straight on Milenijna Street, as well as all participants in road traffic. It would reduce the risk of rear-ending cars waiting for space to clear in the lane for turning left onto Lotnicza Street. Drivers would not have to, often riskily, change lanes to bypass standing cars. The reconstruction would smooth the flow of traffic on road number 5, which is part of the downtown bypass. Additionally, during peak hours, it would facilitate the passage of emergency vehicles, such as ambulances, fire trucks, and police, at this intersection.";roads;750000;Krzyki;2901;2.0;14;2016
719;Completion of the pedestrian and bicycle route around Wielka Wyspa;"Justification
The pedestrian-bicycle route around Wielka Wyspa is one of the most beautiful in Wrocław (perhaps even undisputedly holding the top spot in our city). Half of this route (the northwestern part, adjacent to the districts of Zalesie, Zacisze, Szczytniki) has already been paved with cobblestones, becoming a true gem. The other half – the southeastern part, circling the districts of Biskupin, Sępolno, Dąbie, Bartoszowice – remains gravel-surfaced for now. After post-flood reconstruction, it is in good condition regarding flood protection functions, however, its recreational and representative functions for the city are only adequately met. Remember: this area of Wrocław houses the Centennial Hall, ZOO, higher education institutions, and congress centers. It is highly worthwhile to also pave the southeastern part of the route on the embankments around Wielka Wyspa with cobblestones. This would create a uniform, aesthetic, and fully functional ""ring road"" around Wielka Wyspa – one of the most beautiful pedestrian-bicycle routes in our country, even more favored for walks and recreation by the residents of Wrocław and visiting guests.";walking/cycling infrastructure;1000000;Krzyki;2260;2.0;15;2016
506;Improvement of sports infrastructure for the discipline of Football;"Justification
The planned pitch will be located at the site of the old pitch with a natural surface
on plot Gądów Mały, AR_3, 5/352
The investment will consist of:
- A pitch with an artificial surface measuring 20 m x 40 m
- Lighting
- Ball catchers behind the goals
Due to the very dynamic development of the most popular sport in Poland, which is Football, there is still a lack of pitches for practicing this sport in our city. The facility at Lotnicza Street 72 is used by sports clubs, associations, foundations, and residents from across the city. Tournaments, fairs, and sports events of local, provincial, national, and international dimensions take place here. Building this pitch would greatly improve the ability to practice this wonderful discipline. The facility is under the management of the Youth Sports Center, which will enable proper management, security, and maintenance of the pitch.";sport;750000;Krzyki;2093;2.0;16;2016
717;Dog Field without traffic jams;"Justification
The aim of the project is to significantly reduce travel time to and from Psie Pole by designating bus lanes for public transport vehicles. Currently, Krzywoustego Street is completely impassable during peak hours. Both drivers and public transport passengers are stuck in massive traffic jams. A speeding bus will become a sensible alternative. Everyone will be able to choose whether they prefer to move quickly by public transport or contribute to the traffic jams. Priority for public transport means more passengers, thus greater profits for the city, and additionally, each new passenger means one less car, thus less traffic, less noise, less smog, and more parking spaces :)
Towards the center, the bus lane should start on Krzywoustego Street, from the exit from Kowalska Street. Currently, there are two general lanes there. After the project is implemented, the right lane should be converted into a bus lane (at least during peak hours). Before the intersection, we have 4 lanes (two for turning left, one for going straight, and one for going straight and turning right). After the project is implemented, the rightmost left-turn lane and the extreme right lane for going straight should be converted into a bus lane. Here, the bus lane should fork and continue along Krzywoustego Street, Kromera, Most Warszawski, up to Jedności Narodowej. The second branch should lead along the right lane of Brucknera and Kochanowskiego streets to Grunwaldzki Square. This will ensure a fair division of the street, with one lane for individual transport and one for public transport. Similarly, bus lanes should be designated in the opposite direction.";;1000000;Stare Miasto;2081;5.0;17;2016
145;Safe and friendly roads in Wrocław - speed calming lights instead of speed cameras throughout the city;"Justification
The project proposes changing the operating mode of traffic lights at selected intersections to improve pedestrian comfort and overall safety. The main change will be switching the signals to an ""all-green"" mode for pedestrians – meaning that when there are no cars on the road, the green light will continuously shine at crosswalks, allowing pedestrians to cross freely without having to press buttons and wait. The change occurs only when a column of cars approaches. The second feature would be slowing lights - when a car approaches an intersection or a pedestrian crossing with traffic lights, its speed is monitored by cameras, and if it is driving too fast, the light turns red. The green light comes back on once it reduces speed - if it does not, the camera records the moment of running the red light, and only then is a ticket issued. This system is much more driver-friendly than traditional speed cameras - if someone's foot lingers on the gas pedal, they do not immediately receive a ticket, but a warning in the form of a red light, and only when they ignore it are they penalized. It is also a more effective solution - it reduces speed in the most dangerous places, namely at intersections and pedestrian crossings. Slowing lights are already in operation in Wrocław at the intersection of Ślężna and Weigla, so this is not a novelty in our city.
Proposed locations:
1. Krakowska – pedestrian crossing (signal no. 231)
2. Bardzka – pedestrian crossing (signal no. 243)
3. Popowicka – pedestrian crossing (signal no. 282)
4. Legnicka 100 (signal no. 222)
5. Klecińska – allotment gardens (signal no. 200)
6. Pilczycka – Popowicza (signal no. 101)
7. Armii Krajowej – Orzechowa (signal no. 163)
8. Grabiszyńska – Bzowa (signal no. 219)
9. Grabiszyńska – Al. Pracy (signal no. 162)
10. Powstańców Śląskich – Sztabowa
11. Kamienna at the University of Economics
12. Armii Krajowej – Spiska
13. Armii Krajowej – Krynicka
14. Armii Krajowej – Nyska
15. Pilczycka – Modra
16. Powstańców Śląskich – Orla";roads;650000;Psie Pole;2070;3.0;18;2016
26;Fredruś Vintage Bus Renovation;"Justification
The Jelcz MEX convertible bus - Fredruś is listed in the register of monuments of the Lower Silesian Voivodeship. It was donated to the city in 1974 during the Wrocław Days. Since then, it has become a symbol of the city, transporting tourists and residents.

The name ""Fredruś"" was given in honor of Aleksander Fredro. However, since 2009 the bus has been immobilized and its prolonged exposure to the open air has severely damaged its technical condition, and now substantial financial resources are necessary to restore it to operation. This is because a complete reconstruction of the bodywork, regeneration of details, and the vehicle's driving system, including the engine, are required.

The project's goal is to enable residents, tourists, and guests to explore our city in an interesting way, and it should be noted that this bus has graced all parades and festivals of Wrocław. Let's renovate Fredruś and return it to the residents.";other;430000;Krzyki;1924;2.0;19;2016
378;Construction of the Wrocław handbike type inclusive bike rental facility along with appropriate social and sanitary facilities;"Justification
The project is designed for both disabled and able-bodied residents of Wrocław, as well as guests and tourists.
Handbike bicycles allow for free and independent movement around the city despite any physical limitations. Thanks to the rental service, disabled individuals will be able to more fully enjoy the benefits of urban life, regardless of communication barriers. Creating such a place will allow for the integration of able-bodied and disabled individuals.
The project consists of two elements: the first is a bicycle shelter with handbike bicycles housed within; the second element is a social-sanitary building in a container (single-story) construction with an area of about 50 sqm. The building, intended for office or exhibition use and accessible throughout the year, will provide a space where cyclists can rest, share experiences, use a toilet adapted for the disabled, eat a meal, repair or adjust their bicycles. The building will be fully architecturally adapted to the needs of disabled individuals.
The building, serving roles including a community center, club, or simply a meeting place, will be equipped with the aforementioned toilet module, a kitchen sink with cabinetry, appliances such as a kettle, toaster, sandwich maker, microwave oven, tables, chairs, cabinets, bicycle tools, a lift, and a heating-cooling system.
We have several years of experience in operating and developing the Integrative Bicycle Rental www.roweryintegracyjne.pl.
The organization and coordination of actions taken as a result of the project implementation will be handled by employees and volunteers of the DOBRY CEL foundation, which has supported socially excluded individuals since its inception.";walking/cycling infrastructure;550000;Psie Pole;1912;3.0;20;2016
520;Physicists' Boulevard - Stage 1: Acoustic Lenses, an experiment with sound waves in the form of a publicly accessible installation;"Justification
Through our actions, we aim to promote physics - a field of science of great importance to science, technology, and industry. We want to show that physics, although not easy, is also interesting, fun, and intriguing.
Our goal is to create the first in Wrocław, an open and accessible physical experience park on the territory of Józef Zwierzycki Boulevard (in the immediate vicinity of Max Born Square, home to, among others, the Faculty of Physics and Astronomy of the University of Wrocław).
The specific objective of this project (phase 1) is the installation of a single experiment - so-called acoustic lenses. These lenses focus sound waves and enable their transmission. This allows for fun in transmitting sounds over a distance. We plan to create or order a professional architectural design for the lenses and their placement. Ultimately, despite the development, we want to preserve the character of the place and ""incorporate"" the experiences into the space of the boulevard.
This experience (and others in the future) should have a proper plaque (e.g., metal) with information, formulas, and the theoretical (physical) background of the issue. These can be prepared, for example, by scientists from the adjacent Faculty of Physics and Astronomy of the University of Wrocław. We suggest maintaining the name ""Boulevard of Physicists"" for the entire project and placing such information on the aforementioned plaque.
An example of such an installation can be found, among others, in Geneva:
http://institutions.ville-geneve.ch/fileadmin/user_upload/mhn/documents/Musee_histoire_des_sciences/parc_paraboles.pdf
In the vicinity of Wrocław, the closest can be found, for example, in the experience park in Oleśnica.";greenery/recreation;250000;Krzyki;1825;2.0;21;2016
300;Surface calming on Złotnicka Street;"Justification
The project concerns Złotnicka Street in the section from Kosmonautów Street to Wielkopolska Street. As part of the project, the road surface will be replaced from paved to asphalt.

Beneficiaries:
- local residents, for whom the noise generated by passing cars and buses significantly makes life difficult.
- drivers and cyclists commuting on this street to/from Kosmonautów Street (these are residents of Złotniki and other drivers avoiding the congested Kosmonautów Street), for whom the unevenness of the cobblestones is uncomfortable.
- future residents of the apartment blocks currently being constructed near Złotnicka Street.";roads;1000000;Fabryczna;1717;1.0;22;2016
61;Regulation of vehicle traffic on Robotnicza Street towards Plac Orląt Lwowskich;"Justification
Objective:
The aim of the project is to organize the flow of vehicles on Robotnicza Street in the section (and direction) from Centrozłom to the intersection with pl. Orląt Lwowskich.
Description:
Designating with horizontal signs the traffic lanes on Robotnicza Street from Centrozłom to pl. Orląt Lwowskich, two for private vehicles and one dedicated for public transport/taxis towards the square, and one general lane in the opposite direction as there are no traffic jams there.
Justification:
Currently, during peak hours, both public transport and private vehicles traveling on Strzegomska and Robotnicza Streets towards pl. Orląt Lwowskich are stuck in traffic from Śrubowa Street all the way to the square. Robotnicza Street is very wide, and vehicles line up in a single row, which some drivers dangerously exploit by bypassing the entire traffic jam and rejoining the flow just before the square, only exacerbating the congestion.
Benefits:
Facilitating the flow of public transport/taxi vehicles. Smooth, faster, safer, and more ecological movement of vehicles during peak hours (15-18) on Robotnicza Street towards pl. Orląt Lwowskich for employees of numerous small and large companies located along Strzegomska and Robotnicza Streets. Enabling vehicles exiting from access roads during this time, such as from Góralska Street, to freely merge into the traffic on Robotnicza and Strzegomska Streets.";roads;200000;Fabryczna;1653;1.0;23;2016
619;The Untapped Potential of Skowroni Park - Revitalization;"Justification
The park is well-situated and has good access to public transportation. It is visited by many residents, but its potential is not fully utilized. Its revitalization is necessary:
1. Reconstruction and modernization of green areas. Arranging the area by planting shrubs and flowers to fill the undeveloped land will certainly attract the residents of Wrocław, who wish to escape from the urban hustle and bustle.
2. Pavement hardening. The park's surface is unpaved, and in spring, autumn, and after every rain, visiting the park involves wading ""ankle-deep in mud."" Pavement hardening will be especially appreciated by those who engage in sports and those using wheelchairs.
3. Addition of benches.
4. New trash bins. The current bins do not serve their purpose (they are damaged and their lids are often detached from the containers, causing trash to spill out).
5. Dog waste bins. The park is frequently visited by dog owners, whose pets leave behind waste. Not everyone realizes that dog feces can be a breeding ground for tapeworms and roundworms, as well as many other serious diseases.
6. Installation of a fence around the playground aimed at ensuring the safety of the youngest visitors and adding benches for their guardians.
BENEFICIARIES:
• residents of the entire Wrocław,
• families with children, elderly people, individuals engaging in outdoor sports, pet owners and their canine companions,
• visitors to the MOSIR center,
• allotment gardeners from the garden complex located along Spiska Street,
• patients and staff of the nearby Military Hospital, Institute of Immunology and Therapy, and Medical Academy.";greenery/recreation;1000000;Śródmieście;1644;4.0;24;2016
728;Fairy Tale Square for Adults and Children in Skowroni Park;"Justification
Imagine greenery, and in the middle, a colorful square, a mosaic floor shimmering with colors, interesting unusual benches, hammocks or nets where one can lie down, colorful sculptures, perhaps somewhere the sound of water? Let's imagine that nothing that you could find in some catalog will be created. An unconventional playground for adults and children. Inspired by the warm Spain, the painting and creativity of Gaudí, Szapocznikow, Niki de Saint Phalle, Calder, or Hasior could all be inspirations.

The mosaic in the flooring, interesting benches, colorful sculptures, the collaboration of a group of several artists, architects, to create a unique place. Full of devices set in motion by the wind.

About 200 m2 of extraordinary space designed by our Wrocław craftsmen and artists. Wrocław, as the only city in Poland, has a Faculty of Ceramics and Glass. It is worth utilizing and showcasing this.

It is worth creating a place that will be a new spot on the map of Wrocław's attractions.";greenery/recreation;500000;Psie Pole;1619;3.0;25;2016
524;Parking spaces (park & ride) at the Pilczyce/Municipal Stadium loop;"Justification
The creation of 80 parking spaces will be utilized by individuals arriving by car for mass events organized at the Municipal Stadium (300m). Due to the proximity of the A8 motorway entrance to the city and the Pilczyce loop (100m), the parking is ideally situated for use by people coming from outside Wrocław, who will leave their car at the parking lot and switch to public transport (park&ride) (tram lines: 33, 3, 10, 20; bus line: 128). The implementation of the project will increase the safety of residents and cars parked during events at the stadium. It will also improve the image of the city of Wrocław (especially during stadium events). It will prevent the devastation of green areas.
Currently, during events at the stadium, due to cars being partially parked on the road, dangerous situations and collisions occur. Drivers, due to the lack of space, are unable to pass each other or turn around. Often, they have to reverse out of the alley for up to 200 meters. There is devastation of green areas due to the obstructed road (passing through lawns and sidewalks) or parking on the lawns.";roads;750000;Stare Miasto;1608;5.0;26;2016
626;Nextbike city bike stations - Zakrzów - Wilanowska / Królewska housing estate;"Justification
The Wrocław City Bike has proven to be a great success in the city center. However, areas beyond the downtown ring road are still excluded from its services. Meanwhile, in Bydgoszcz and Warsaw, the city bike also operates in areas far from the center.
Therefore, we propose the establishment of a WRM station at Psie Pole in the apartment complex at Wilanowska / Królewska Street. Over a thousand potential city bike users live in this area. We propose three possible locations, with the final location to be determined in consultation with the residents. An estimate of 150,000 has been adopted based on suggestions from those administering the WBO.";walking/cycling infrastructure;250000;Stare Miasto;1506;5.0;27;2016
543;Public toilet in Eastern Park;"Justification
Eastern Park – a large park complex located on Krakowska Street, is frequently visited by the residents of Wrocław. It is an excellent place for recreation and relaxation, where entire families can spend their free time. Different parts of the park have various atmospheres and characters, from well-organized, with clearly marked paths and benches, a running track, a playground for children – to a ""wild"" part, where a walker can feel a taste of the forest. The lack of toilets and the considerable distance from public utility places significantly limit the use of the park area.
Installing automatic toilets adapted for disabled people, equipped with changing tables for infants, and allowing year-round use, will improve the conditions of using the park area and will contribute to raising the standard of this area of Wrocław.";greenery/recreation;250000;Psie Pole;1441;3.0;28;2016
500;Intimate stage on the grass in the heart of Słodowa Island;"Justification
Słodowa Island is one of the most popular public spaces in our city, despite certain functional deficiencies in its infrastructure. During the summer months, both residents of Wrocław and tourists flock to it, both during the day and at night.

The island already has its unique character, which we all appreciate. However, we believe that it lacks a defined space for small, intimate, and spontaneous events. A place where, sitting on the grass on a warm summer day in the shade of trees, one could listen to a mini guitar concert, practice yoga or capoeira, and watch a performance by a small dance group. A place where, for example, Wrocław actors could publicly read excerpts from books or where workshops for children could be organized in the summer/spring without worrying about changing weather conditions. We envision this stage/pavilion as: open to the surroundings, covered, informally obliging space that encourages creative activities, where the people of Wrocław could utilize their creativity and energy. An additional function would be the possibility to take shelter under it during passing rains.

A new intimate stage with a roof would be a great complement to the already existing large stage on the Island. It would have its own operator and electricity connection. Following the existing infrastructure and the ""Parki ESK"" containers, it could serve the people of Wrocław during weekends and other major occasional events. The management of events on it could be handled by WCRS or a later operator of the Słodowa Island 7 tenement.

Considering the special character of the island, the stage would be designed and located so as to not interfere in the slightest with its: landscape (not obstruct views), urban structure, and surrounding greenery (fit into the space between existing trees). We want to create a new democratic place that can be used by people of various age groups, including disabled individuals, where one can sit under cover without the necessity to purchase anything. We want to create an intimate, architecturally interesting place that enriches and complements - also functionally - the Island, but one that in no way dominates it.

The dimensions of the stage/pavilion are approximately 18 by 7 meters, with a height of about 3.5 meters.";greenery/recreation;400000;Fabryczna;1161;1.0;29;2016
98;New Starry;"Justification
Gwiaździsta Street is neglected, the sidewalks are damaged and obstructed by cars, the roadway is too wide and ruined. The aim of the project is to renovate the sidewalks and construct new ones where they are missing, to arrange new lawns with low vegetation, and parking spaces (angled parking), as well as to narrow the roadway to a width of 2x3 meters. In this way, a safe, friendly, and convenient street will be created for all users.";roads;90000;Krzyki;1025;2.0;30;2016
73;Improvement of the Bogedaina Street surface;"Justification
Improving the surface of the aforementioned street - along with the twin project of improving the surface of Międzyleska Street - would contribute to the creation of an attractive, alternative connection between Brochów and Bieńkowice with the city center. It would primarily relieve the intersection of Opolska with Karwińska, but also - increasingly busy - Gazowa with Tarnogajska. The benefits of this renovation would also be felt by the residents of the newly built blocks along Klimasa Street and the entrepreneurs operating in that area, who would gain additional, high-quality access to the estate and better access for their customers.
In conclusion, the beneficiaries of the above proposal would be the residents of the Brochów, Bieńkowice, Tarnogaj estates, and - thanks to less congestion on Opolska up to the intersection with Karwińska during the afternoon peak traffic hours - Księża.";roads;750000;Krzyki;983;2.0;31;2016
559;Muddy street verges;"Justification
The dreadful appearance of the unpaved street shoulders, which turn into mud-filled holes or deep puddles, is particularly noticeable around my workplace in Karłowicze. I am providing 2 addresses - Boja-Żeleńskiego between the intersection with Orkana and Berenta, ul.Bezpieczna at the intersection with Obornicka. I believe these neglected street shoulder strips have a manager (ZDiUM?) and paving them with asphalt or cobblestones would change their terrible appearance. I think more such places can be identified.";roads;200000;Krzyki;889;2.0;32;2016
283;Benches at the Stops;"Justification
At the stops where there is the highest traffic every day, there are too few seating places.";;100000;Stare Miasto;831;5.0;33;2016
230;Renovation of Kamienna Street - section from Tomaszowska to Borowska;"Justification
The renovation involves replacing the century-old, crooked, hole-ridden cobblestones with asphalt. Currently, driving on Kammienna Street is terrible, requiring one to slow down to 10-20 km/h. The street is not suitable for normal use.";roads;1000000;Fabryczna;781;1.0;34;2016
349;NEXTBIKE City Bike Stations Wrocław Airport, CH Factory;"Justification
Installation of the station, facilities for commuters to workplaces in Strachowice.";walking/cycling infrastructure;150000;Krzyki;718;2.0;35;2016
82;Raising the platform surfaces at Reagan Roundabout;"Justification
This will facilitate boarding and alighting at this key city-scale transit hub.";;1000000;Psie Pole;705;3.0;36;2016
23;Timetables at the stops for lines 2, 6, 7, and 17, as well as at the Uniwersytecka, Wita Stwosza, Dubois stops.;"Justification
The project involves the installation of 8 DIP boards with timetables at the Jastrzębia and Orla stops in both directions of traffic, as well as at the Uniwersytecka, Wita Stwosza, Dubois stops.
These stops - especially on Jastrzębia - are located near large residential areas, hence they are often crowded during morning peak hours. However, the lack of timetable boards means that in the event of any random incident, people are deprived of information about such events. The project aims to provide greater comfort for travelers, which is important due to nearby educational centers (kindergarten, middle school - Jastrzębia stop) and recreational areas (South Park, square at Orla Street).";;600000;Fabryczna;699;1.0;37;2016
