project_id;year;project_name_eng;description_eng
9;2022;Penalize Noisy Bikers;"I would like to raise awareness among our biker friends about reducing noise in the city. Controls based on prevention would enforce the law, which ranges between 66dB and 80dB depending on the engine size. I know that sound radars will soon be tested, but simple compliance and a strategic location in the city (at the intersection of Metz and Languedoc) would allow law enforcement to quickly reduce the noise from the hundred bikers who ride in the city center with non-standard noise.

Implementation details - Technical opinion:
Currently, there is no radar equipment capable of penalizing vehicle noise. However, it is possible to install an educational radar which, with the help of a luminous panel, would indicate to drivers whether the noise level emitted by their motor vehicle is compliant or not.
Operating cost: 5,000 euros per year."
163;2022;Reopening of the green spaces along the Garonne to the people of Toulouse;"With the covid crisis, no less than 2 hectares of green spaces along the Garonne were closed to the public near the CCAS retirement home in Ducis; these green spaces include wooded areas, lawns, a pond, and the banks of the Garonne with several protected species present. Currently, in the neighborhood, the nearest public green space is either the Barry garden (1km away) or the Raymond VI gardens (2km away), while our neighborhood along the Garonne has many unexploited green space potentials for the residents, including Ducis park (the Roman arenas or the park around the Château de la Flambère can also be mentioned). The goal would be to open the site at the intersection of two neighborhoods, Ancely and Casselardit, with four objectives: - to recreate social links between the residents of the EPHAD and the families/children frequenting the park - to bring an ambition in terms of development (re-greening the space)/management of the park (proposing more extensive management) - to enhance the ecological value of the park included in the green and blue network of the metropolis, which can be integrated into the grand Garonne park and can be valued as a compensation site in the context of local development projects - to raise awareness among nearby schools/residents about biodiversity and the consideration of nature in the city of the Metropolis Among the ideas that could be implemented: - partially replace the weekly mowing of green spaces with extensive mowing/grazing favorable to species of open environments such as eco-grazing - plant trees in targeted sectors to create areas arranged for residents (picnic, relaxation...) as well as cool islands - plant country hedges on the side of Casselardit avenue to isolate the park from the avenue - check for the presence of bats in the castle's attics and propose management monitoring measures (night cameras) - create a shared garden between the school and EPHAD - create a bird-watching area (great cormorant, heron...) between the castle and the Garonne - create a wooden playground, with balance trails To achieve this, a baseline study of the site with the participation of residents/school/EHPAD residents, discovering the unsuspected biodiversity of the park would be necessary. This site fits perfectly into the metropolitan policy in favor of biodiversity (green and blue network / intergenerational citizen participation / 100,000 trees...) This site is also located along a well-frequented cycling path and the GR86. Implementation modalities - Technical opinion: A planting program on this site is already established with the choice of species and planting locations. These plantings will be carried out in the fall. The opening to the public of part of the park must respect the constraints related to the reception of the EPHAD residents (health and safety reasons). The installations proposed in this idea must be studied in terms of the cost of purchasing the land."
38;2022;Massive greening of Roguet/St Cyprien square;"Roguet/St Cyprien Square, a nerve center of the neighborhood, a commercial, trading, and residential area, suffers from a significant lack of greenery. It is also a major traffic hub. During the increasingly frequent scorching summers, crossing the square can sometimes be a challenge, as the mineral surface stores and reflects heat. Unfortunately, the few improvements made to the square are insufficient to make it livable. A massive greening of the square would significantly reduce the temperature, dampen traffic noise, and purify the atmosphere.

Implementation details - Technical opinion:
Greening of Roguet Square, with the installation of planted beds, while maintaining the current uses of the square (terraces, market...). This project will be refined based on technical constraints due to the presence of underground networks.

Regarding the inner Saint-Cyprien Square, this project requires more comprehensive reflection in connection with the integration of the future Express Vélo on the Charles de Fitte alleys, and the cost of development is significantly higher than €200,000, so a comprehensive project has been ruled out from the study. However, vegetated totems (see a reference example by clicking here) can be deployed in the most mineral areas to cool the square."
17;2022;Fighting mosquitoes with bats;Bats could eat up to the equivalent of 3000 insects per night (including mosquitoes). Could we establish bat houses and repopulate with bats in parks to benefit from their cleaning? Implementation details - Technical opinion: Bats are active during twilight or at night, whereas tiger mosquitoes particularly bite during the day (morning and early evening before nightfall). This solution is part of biodiversity preservation and the ecosystem-based approach, but it is not the most appropriate for combating the tiger mosquito. Other solutions such as oviposition traps should be prioritized because they target a key and unavoidable stage in the life cycle of the tiger mosquito and are specific to this species. Therefore, the installation of oviposition traps is proposed as an alternative. In the Compans-Amidonniers district, 40 oviposition traps can be installed.
77;2022;Make Place Amat Massot... a friendly ECO-CITIZEN square!;"Transforming Amat Massot square into a green area, bringing back plant and animal biodiversity, and making it a place of life and meeting for the neighborhood's residents are the goals of our project! Currently, Amat Massot square lacks maintenance. It primarily serves as a spot for illegal parking, the ground and furniture (a few benches) are worn out, and it is regularly invaded by trash and dog droppings, making this space unpleasant, underused, and squatted. However, due to its location (near a middle school, high school, clinic, nursing home, future metro line) and the trees already planted, it has great potential and is just waiting to be enhanced!

Our proposal:
1. Rehabilitate the square
   - Rehabilitate the stabilized (non-asphalted, non-grassed) grounds
   - Replace and supplement the furniture
   - Install a dispenser for dog waste bags (trash bins are already available)
   - Define the square's boundaries and combat illegal parking by installing planters and vegetated posts
   - Incorporate bicycle racks

2. Bring back plant and animal biodiversity
   - Create flower beds by mixing species and varieties of plantings to ensure biodiversity
   - Install birdhouses, especially for tits, which will help control mosquitoes
   - Integrate an insect hotel that would be built during a workshop led by the Collective (a project already carried out by members of the collective in a neighborhood school)
   - Set up a dwelling for hedgehogs, which are very common in the neighborhood

3. Recreate a place for intergenerational life and meeting
   - Integrate a few community garden plots that the Collective commits to maintaining through gardening workshops
   - Place a book exchange box
   - Provide a chess table
   - If the city hall allows it and confirms feasibility, propose to customize benches with nature-themed mosaics

We are at your disposal to present the project in more detail, including sharing a draft model with you!

Implementation modalities - Technical opinion:
A study can be conducted by the competent municipal and metropolitan services to transform this space into a neighborhood square by creating meeting spaces between neighbors and enhancing its vegetal character. A consultation would then be launched with the project initiator, neighborhood associations, and the residents of the concerned neighborhood."
39;2022;Trees for Rue de la République (greening Place Olivier);"The Rue de la République and Place Olivier are so bare.. It's a pity because there is no shade, the concrete retains heat and generates such strong thermal inertia in the summer. It's a busy street for cars and it also heats up due to all the engines passing through. Adding vegetation would be a way to provide some cover from the sun but also to breathe better on this street and square, which are just waiting to become pleasant.

Implementation details - Technical opinion:
Increase the vegetation around the bases of trees in Place Olivier, to make this area more permeable and reduce temperatures during periods of intense heat. Through the use of grassy paving stones, the plants could blend into the current pavement.

Regarding Rue de la République, vegetation is planned and has been integrated into the redevelopment project aimed at securing pedestrian and cyclist traffic and better connecting the Left Bank to the Right Bank. It will therefore not be studied in the context of this call for ideas."
110;2022;Renovation of the Parc des Argoulets 🌳🌱🌺🌻;"Les Argoulets is a park that lacks vegetation. It is well-attended and in my opinion, it is not sufficiently equipped and not pretty. Making it more pleasant by adding vegetation to improve air quality due to its proximity to the ring road, installing more sports facilities including ping pong tables, renovating the children's park, adding more facilities for napping, reading, picnics, and promoting the planting of flora for bees. 🐝 The park remains a large green space that is not fully utilized, which I find regrettable. Let's develop this little piece of nature by doing good for the environment and our senses.

Implementation details - Technical opinion:
The installation of ping pong tables is possible, and it is also planned to create a skatepark and a pumptrack at the beginning of 2023. Regarding the plantings, it is possible to plant trees while taking into account the uses of the site to preserve the eco-grazing area. However, since the playground is in good condition, it is not deemed necessary to renovate it. The cost varies depending on the number of plantings."
69;2022;Remove the asphalt from Lombez Avenue and Grande-Bretagne Avenue.;"Lombez Avenue and Grande Bretagne Avenue are busy gateways to the city, with adjacent neighborhoods that have developed significantly. It would be interesting to make these strategic access routes more pleasant by greening the surroundings, flowering all the roundabouts (as is done closer to the city center), creating relaxation areas (benches), play areas, removing the numerous graffiti, eliminating billboards, harmonizing street furniture (sometimes green, sometimes gray, sometimes degraded...), and developing bicycle lanes... There is no shortage of ideas, but it is necessary to make these gateways to the center more pleasant for those who are just passing through, but especially for those who live there. Thank you.

Implementation details - Technical opinion:
Green the central median of Lombez Avenue by freeing the bases of trees, which will improve the growth conditions of the existing Chinese pear trees, combat heat islands, and beautify this axis to make it more pleasant. Also, on Grande Bretagne Avenue, the concrete blocks preventing access to Charpak Street could be temporarily replaced by planters pending a permanent arrangement. Regarding Grande Bretagne Avenue, this option has been set aside for now because a rapid bike network (REV) project is planned on this axis to improve cyclist movement, and plantings will only be carried out once the arrangements are in place to avoid damaging the plantings. For your information, Lombez Avenue is also identified as an axis of the REV to improve bicycle traffic. Regarding play areas, this issue is being studied as part of the future park located on the third phase of the Cartoucherie along Grande Bretagne Avenue."
157;2022;Tree planting and diversification of the plant palette;"Saint Roch Street features a variable roadway width without shade. A green framework would provide appreciated shading and a more harmonious living environment. It seems possible to plant some remarkable trees as opportunities arise and to diversify the plant palette of the neighborhood. - Planting flowering trees such as Paulownia would contrast with the very large trees on Avenue de l'URSS. (""Imperial tree,"" is a tree native to central China. It grows quickly but does not exceed 10 to 12 meters in height (thus suitable for small gardens), and its spreading form is very elegant.) - Planting perennial plants at the base of shrubbery clusters would be a response to the search for biodiversity and fertile habitat. The cluster located on the north facade could be enriched by some tall shrubs/small trees such as Elderberry. Implementation modalities - Technical opinion: Greening of Saint Roch Street through tree planting. Perennial plants will be planted at the base of the trees to provide a fertile habitat for urban biodiversity. The proposal to plant Paulownia species, which have high environmental and aesthetic value, is not suitable for the profile of this street. Species such as “Chinese Pear,” “White Serviceberry,” or “Lutèce Elm” would more adequately address the greening of this road (subject to compatibility with underground networks). Note that such a greening project will impact the on-street parking availability, which should be evaluated before implementation."
118;2022;Development for La Plaine;It would be very useful to have toilets worthy of the name in the green zone of La Plaine and generally in the area extending to Les Argoulets. Implementation details - Technical opinion: This project is feasible, and if this idea wins, it is proposed to experiment with dry toilets in the green zone of Les Argoulets.
44;2022;Swift and bat nesting boxes + traps for tiger mosquito larvae or adults;"To limit the impact of mosquitoes (tiger mosquitoes and others), I propose boosting the population of their natural predators by installing nesting boxes in neighborhoods, or even distributing them to residents for installation. Traps for larvae or adults should be installed to maximize efforts against these pests. Join the proposal from ""Citoyen"" for district 3.3. This proposal should be generalized across all districts, especially in parks and green spaces. Implementation details - Technical opinion: Installation of 40 breeding traps and a swallow nesting box in the district to combat tiger mosquitoes. Bat boxes are less relevant because bats are active at dusk or at night, and tiger mosquitoes particularly bite during the day (morning and early evening before nightfall); thus, they are not the most effective predators against these mosquitoes."
144;2022;Fruit tree plantations in the Rangueil, Sauzelong, and Jules Julien neighborhoods;"I propose planting fruit trees in Toulouse and its surrounding area. In addition to filtering the polluted city air, this will attract bees and other important insects. The trees will provide cool shade and allow those out for a stroll to enjoy an apple, pear, or other fruits. The roots cause much less, if any, deformation to roads and sidewalks. They can be placed in parks, along sidewalks, in public gardens, parking lots, etc. Having experimented with this in Aquitaine, it's a project that works, is well-received, and deserves careful consideration and implementation. Thank you.

Implementation details - Technical opinion:
Planting about fifty fruit trees in urban areas across the Jules Julien, Midi, Rangueil, Sauzelong neighborhoods."
102;2022;Increase the number of sources of freshness and CO2 capture in the neighborhood;"- in all public green spaces, even very small areas currently not vegetated: planting of shrubs that are easy to maintain and not very water-demanding: althea, lycianthes, Japanese kerria, buddleia, oleander... - flower beds in parks: favor the installation of flowers from bulbs and perennials rather than uprooting flowers (often not yet wilted) and then replanting them: economic, ecological cost, water usage, and mobilization of human resources that could be deployed on tree planting actions, for example - in parks: leave areas unmowed to promote wildlife, diversity, and limit water evaporation - encourage residents to green their balconies: create two events around November 25 (""Everything Takes Root"") and at the beginning of spring to offer tips for planting, plant pairing, water management, and free cuttingsImplementation modalities - Technical opinion: It is possible to plant trees and de-pave several sites in the neighborhood."
72;2022;Mosquito Repellent - Distributing Bat Houses;"To continue the fight against mosquitoes, the idea would be to distribute bat houses that residents can install at their homes. The mode of operation would be similar to the distribution of composters already in place. Implementation details - Technical opinion: Bat houses are less relevant because bats are active at dusk or at night, and tiger mosquitoes particularly bite during the day (morning and early evening before nightfall); thus, they are not the most effective predators for combating these mosquitoes. This solution must be used pragmatically. It is part of the preservation of biodiversity and the ecosystem-based approach but it is not the most appropriate for fighting the tiger mosquito. Other solutions such as oviposition traps should be prioritized because they target a key and unavoidable stage in the life cycle of the tiger mosquito and are specific to this species. Therefore, the implementation of oviposition traps is proposed as an alternative. However, caution is advised if the bat houses were to be proposed for private spaces because this measure must be adopted by the City Council to be implemented on a widespread basis throughout the Toulouse territory.

Cost per bat house: 30 euros. / Cost per oviposition trap = 30 euros for 2

For all of Toulouse (intended for individuals) = 60,000 euros."
153;2022;Reduction of Light Pollution;"Following the example of the new lighting in Busca Square and Frizac Avenue, equipping the streets of the neighborhood leading to Busca Square with LED streetlights that illuminate only towards the ground, unlike the current streetlights which harshly illuminate the facades causing discomfort for the residents and light pollution. This would have the dual benefit of reducing electrical consumption and light pollution. Ultimately, a comprehensive plan to reduce light pollution across the metropolitan area would be desirable. Toulouse, the cradle of CNES, should be able to see its stars again.

Implementation details - Technical opinion:
Equip the streetlights in Busca along the Canal du Midi with shape detectors. Shape detection allows for controlling the operating costs of lighting by providing light only when there is confirmed use of the public space. This involves detecting the presence of human movements at night. The streetlights would operate at only 20% of their power, except when they detect a person."
135;2022;"""Green"" Restructuring of Roger Arnaud Square";"Take advantage of the funding from this call for ideas to initiate reflection with TM, and a design office if necessary, on a complete restructuring of Roger Arnaud square, which is partly sacrificed to parking today. Our Association, after detailed surveys of the functioning of this place (behaviors of residents, pedestrian, bicycle, car traffic, and parking), concluded the possibility of restructuring this emblematic site for the ""Pont des Demoiselles"" neighborhood heart. This would lead to:
- Creating a large green square in place of the current parking lot.
- Simplifying the organization of bicycle and car flows by eliminating, in particular, the intersections of different traffics in the funnel located between the square and Saint-Exupéry avenue.
- Facilitating and securing the movements of bicycles and scooters, which are numerous to use this compulsory passage between the northern part of the neighborhood, educational establishments, the Canal du Midi track, and beyond to the city center or the university campus.
- Offering pedestrians a comfortable and pleasant site to cross towards and from Pradal street, which will lead them to the Jean Rieux station of the TAE metro line, and whose narrowest sidewalk sections should be widened by 2028.
- Maintaining a parking offer along the reorganized roads to meet the needs of the businesses and services of the neighborhood heart, managing it through regulations that stimulate good usage rotation.

If the funding associated with the call for ideas allowed it, why not start some of the work or actions related to this restructuring, which seems essential to us in the medium term and would bring back, under the plane trees, greenery, children's games, perhaps an open-air market at the heart of the neighborhood, etc.

Implementation modalities - Technical opinion:
Roger Arnaud square is part of the perimeter of a ""Cœur de quartier"" operation by Toulouse Métropole. It is proposed to strengthen the component dedicated to the greening of Arnaud square, in addition to the ongoing ""Cœur de quartier"" project, which aims to requalify public spaces."
91;2022;Swift and bat nesting boxes + traps for tiger mosquito larvae or adults;"Like other municipalities in the metropolis, it would be useful to consider the town hall's participation in the costs of nest boxes for swifts and bats (a bulk order by the town hall would also help to reduce the unit price) for a collective fight against the tiger mosquito. These nest boxes would be distributed to individuals who would place them at their homes. Similarly, participation in traps for larvae or adult tiger mosquitoes could also be considered. 

Implementation details - Technical opinion:
Regarding bats, they are useful against mosquitoes (notably of the Culex genus). Against tiger mosquitoes (of the Aedes genus), which notably bite during the day, bats - which are active at dusk or nocturnal - cannot deploy their full effectiveness. For biodiversity reasons, it is very useful to promote the installation of bats in the territory, but in the context of combating the presence of the tiger mosquito, other solutions should be prioritized. Swifts are part of the daytime avifauna that preys on flying insects. However, their flight paths are too high for tiger mosquitoes, and the installation of nest boxes is excluded because for the nest boxes to be colonized, they must be installed near an existing colony or be part of a playback campaign (audio tape playing the calls of swifts).

Nest boxes for swallows might be more interesting because the flight height of swallows makes them natural predators of flying insects, like the tiger mosquito. In terms of colonization, the same difficulties apply as for swifts. Implementing oviposition traps seems to be the most appropriate idea, however, care must be taken as this measure must be adopted by the Municipal Council to be implemented and, if this is the case, it would be generalized for the entire territory of Toulouse, thus requiring a significant budget.

Cost per nest box: 30 euros.
Cost of oviposition traps: 30 euros for 2. A budget of approximately 60,000 euros is needed to equip the private spaces of Toulouse and 12,000 euros to equip the public spaces."
174;2022;Let's restore color to the green spaces of Chemin de la Fronde;"This idea was submitted via a paper form by Maïté. I regularly pass along Chemin de la Fronde and I notice that the green spaces are frequented by high school students, employees from nearby businesses, and residents of the neighborhood. These spaces are not being showcased well. It would be inexpensive to improve the condition of these areas to make them more pleasant with new plantings and by creating picnic areas. We are fortunate to have green spaces; we might as well enhance them.

Implementation details - Technical opinion:
The project is coherent and technically feasible. It will beautify the site with new furniture (picnic tables + benches + trash bins) and the planting of some new vegetation so that residents can enjoy it. However, be mindful of potential noise disturbances, especially at night, that such developments might cause. A consultation with the residents living adjacent to this site could be considered."
12;2022;Greening of Place Saint Sernin, Rue Alsace, and the forecourt of the station;"Replace the excessive cobblestones with lawns and trees on Alsace Street, Saint Sernin Square, and Matabiau Station forecourt, where possible, of course.

Implementation details - Technical opinion:
Regarding Alsace Lorraine Street, an enhancement in terms of greening can be considered: however, the chosen arrangements must receive the favorable opinion of the Architect of French Buildings and meet the requirements/constraints related to high pedestrian traffic and multiple uses of the street. On the other hand, Saint-Sernin Square has undergone a major redevelopment, during which more than 80 trees were planted. A garden was created at the apse of the basilica, and a garden/playground was established in the courtyard of the St-Sernin gymnasium (replacing a parking lot). On Saint-Sernin Square, the tree planting was regulated (UNESCO World Heritage site) but also constrained by the presence of archaeological remains at a very shallow depth (-20cm on the forecourt, -40cm in front of the high school). Therefore, the decision was made to elevate the ground to allow for tree planting. Additional plantings are not feasible. This part of the proposal will not be put to a vote."
126;2022;Canal du Midi bank landscaping;Port St Sauveur, remove the parking spaces and convert them into lawns and green spaces. Implementation details - Technical opinion: It is proposed to redevelop this area by implementing tactical and transitional urban planning measures. If this idea is adopted, it will be possible to improve pedestrian crossings between the building base and the riverbanks, to prohibit vehicle parking, and to create a dedicated pedestrian space for the right bank quay. If greening is not the initial goal envisioned (since it is the spirit of the port and the quay that, according to the Grand Parc Canal study, must prevail), this project proposes: the installation of large communal tables and seating furniture, which could be paired with shade structures to provide shade during the hottest hours. This development will promote new uses that are both peaceful and convivial.
139;2022;Development of the Pech-David observatory site;"With the recent arrival of the Toulouse cable car, the residents of the neighborhood see their living spaces transforming. The green base of Pech David, where the observatory is located and which is so adored by walkers, families, and Toulouse athletes, is altering and gradually changing its face. It is mutating into a parking area that extends further and further, where the car - although we are in an era increasingly concerned about our planet - aspires to become the queen (parking on the grass, on the edge of the cliff, around the observatory, even on hiking trails...). Yet our queen is the Pech David area. We see its flora and fauna changing; the ways of enjoying this space deteriorated. Indeed, for the past two years, it has been an open-air parking lot that modifies the uses and frequentations of this site and our neighborhood. Our wish is then to bring back to the forefront the active, family, and sports dynamics of Pech David. We would like developments aimed at respecting the place for what it represents to our city, as a green lung, but especially for our neighborhood. We then imagine relaxation and exchange areas (on the ground or through eco-responsible furniture). Pétanque or mölkky courts transforming the path dedicated to the cable car works into small game fields. Above all, we would like to restore the green spaces to bring back nature, sacrificed in the name of the automobile and the ease of access for Toulouse residents. They could actually reuse the initial parking areas (parking on the other side of the observatory road, parking at the stadiums after the equestrian center,...), and walk to the observatory site. It is with great respect for our neighborhood, but also for our city that as young Toulouse residents, athletes, and lovers of Pech David, we hope that this project will be retained. Implementation modalities - Technical opinion:
Development of sports and relaxation areas at the Pech-David observatory site. This project would consist of installing several picnic tables shaded by tree plantations around the observatory, not far from the water tower. In addition, outdoor sports facilities (pétanque court, area for mölkky...) as well as seating would be installed. This project would complement the security and accessibility improvements of the observatory site (renovation of pedestrian paths, installation of signage...), already planned by the community."
32;2022;Preserve trees, airy spaces, and soccer/basketball courts around the La Grave dome (planting of fruit trees near the playground);"With global warming, it is absolutely essential to preserve as many trees and open spaces in our neighborhoods as possible, especially around the Dôme de Lagrave where a very large building with 200 housing units is already being constructed next door (Dôme Building - Kaufmann & Broad). The Asso St Cyprien quartier libre wishes to keep the existing green spaces and playgrounds for teenagers (the nearby Raymond 6 park does not allow team sports), in order to BREATHE, and to create communal nourishing and educational gardens. Thank you! We need to move into the 21st century: it will not be the century of concrete!

Implementation details - Technical opinion:
Creation of an orchard of more than 2500m2 on the existing green space near the playground, to provide a nourishing area for the residents of the neighborhood. Regarding the basketball court, however, it belongs to the CHU and the community does not have control over this land, so this part of the proposal has not been accepted."
151;2022;Developing Henri Russel Square;"Henri Russel Square is today entirely mineral at ground level, except for the trees that surround it, and is generally neglected by residents who do not frequent it. Its use and design need to be rethought, as suggested by the call for ideas that has been launched. Proposed development for the area includes: - creating a green barrier to isolate it from Crampel Avenue - creating a children's play area themed around Henri Russel's seven caves. Implementation details - Technical opinion: The improvement of Henri Russell Square will be considered as follows: - Ensuring accessibility to the square and its pedestrian crossings; - Adding more greenery; - Installing more seating; - Promoting soft mobility by adding bike racks and relocating the Vélô Toulouse station; - Maintaining parking availability; - Highlighting the Wallace fountain; - Developing a playground area."
